,taxon_id,taxon,species_y
1044,138712,aloe jacksonii,jacksonii
1045,138714,aloe laeta,laeta
1046,138715,aloe marlothii,marlothii
1047,138716,aloe mcloughlinii,mcloughlinii
1048,138720,aloe suzannae,suzannae
1049,128227,amazona aestiva,aestiva
1050,132934,amazona agilis,agilis
1051,50223,amazona albifrons,albifrons
1052,50225,amazona amazonica,amazonica
1053,50520,amazona autumnalis,autumnalis
1054,110157,amazona collaria,collaria
1055,131040,amazona dufresniana,dufresniana
1056,111106,amazona farinosa,farinosa
1057,110965,amazona festiva,festiva
1058,132650,amazona finschi,finschi
1059,50224,amazona ochrocephala,ochrocephala
1060,110158,amazona tucumana,tucumana
1061,132647,amazona ventralis,ventralis
1062,121102,amazona viridigenalis,viridigenalis
1063,138735,anguloa cliftonii,cliftonii
1064,110135,anodorhynchus hyacinthinus,hyacinthinus
1065,34557,aprosmictus erythropterus,erythropterus
1066,110119,aprosmictus jonquillaceus,jonquillaceus
1067,130859,ara ambiguus,ambiguus
1068,50218,ara ararauna,ararauna
1069,34596,ara chloropterus,chloropterus
1070,120780,ara glaucogularis,glaucogularis
1071,34595,ara macao,macao
1072,132666,ara militaris,militaris
1073,120980,ara rubrogenys,rubrogenys
1074,49405,ara severus,severus
1075,34601,aratinga jandaya,jandaya
1076,111124,aratinga solstitialis,solstitialis
1077,34602,aratinga weddellii,weddellii
1078,23903,arctocephalus forsteri,forsteri
1079,138745,areca ipot,ipot
1080,138747,ariocarpus trigonus,trigonus
1081,138748,armatocereus godingianus,godingianus
1082,138750,arrojadoa rhodantha,rhodantha
1083,138751,arthrocereus rondonianus,rondonianus
1084,138754,astrophytum ornatum,ornatum
1085,138755,austrocactus bertinii,bertinii
1086,138756,austrocylindropuntia floccosa,floccosa
1087,138757,austrocylindropuntia pachypus,pachypus
1088,34560,barnardius zonarius,zonarius
1089,138768,blossfeldia liliputana,liliputana
1090,34614,bolborhynchus lineola,lineola
1091,34615,bolborhynchus orbygnesius,orbygnesius
1092,49407,brotogeris chiriri,chiriri
1093,34621,brotogeris chrysoptera,chrysoptera
1094,34620,brotogeris cyanoptera,cyanoptera
1095,34619,brotogeris jugularis,jugularis
1096,110147,brotogeris pyrrhoptera,pyrrhoptera
1097,34622,brotogeris sanctithomae,sanctithomae
1098,34618,brotogeris tirica,tirica
1099,50222,brotogeris versicolurus,versicolurus
1100,138779,browningia hertlingiana,hertlingiana
1101,38587,bubo cinerascens,cinerascens
1102,38241,bubo poensis,poensis
1103,138783,bulbophyllum encephalodes,encephalodes
1104,135352,butastur indicus,indicus
1105,135354,buteo rufinus,rufinus
1106,135355,buteo swainsoni,swainsoni
1107,135356,buteogallus meridionalis,meridionalis
1108,121098,cacatua alba,alba
1109,50214,cacatua galerita,galerita
1110,121099,cacatua goffiniana,goffiniana
1111,115932,cacatua haematuropygia,haematuropygia
1112,50213,cacatua leadbeateri,leadbeateri
1113,110110,cacatua moluccensis,moluccensis
1114,121150,cacatua ophthalmica,ophthalmica
1115,50215,cacatua sanguinea,sanguinea
1116,121082,cacatua sulphurea,sulphurea
1117,50212,callocephalon fimbriatum,fimbriatum
1118,34536,calyptorhynchus banksii,banksii
