species_id,year,endangered_status
135198,1988,Threatened
135199,2016,Near Threatened
135199,2014,Near Threatened
135199,2012,Near Threatened
135199,2008,Near Threatened
135199,2006,Near Threatened
135199,2004,Near Threatened
135199,2000,Lower Risk/near threatened
135199,1996,Vulnerable
135199,1994,Vulnerable
135199,1988,Threatened
35405,2016,Least Concern
35405,2012,Least Concern
35405,2009,Least Concern
35405,2008,Least Concern
35405,2004,Least Concern
35405,2000,Lower Risk/least concern
35405,1994,Lower Risk/least concern
35405,1988,Lower Risk/least concern
38477,2016,Least Concern
38477,2013,Least Concern
38477,2012,Least Concern
38477,2010,Least Concern
38477,2008,Not Recognized
38477,2004,Not Recognized
38477,2000,Not Recognized
38477,1994,Not Recognized
38477,1988,Not Recognized
34534,2016,Least Concern
34534,2012,Least Concern
34534,2009,Least Concern
34534,2008,Least Concern
34534,2004,Least Concern
34534,2000,Lower Risk/least concern
34534,1994,Lower Risk/near threatened
34534,1988,Lower Risk/least concern
110118,2016,Near Threatened
110118,2012,Near Threatened
110118,2008,Near Threatened
110118,2006,Near Threatened
110118,2004,Vulnerable
110118,2000,Vulnerable
110118,1994,Lower Risk/near threatened
110118,1988,Lower Risk/least concern
134440,2012,Vulnerable
134441,2014,Least Concern
134442,2022,Near Threatened
134442,2021,Near Threatened
134442,2010,Least Concern
810,2015,Least Concern
121162,2018,Near Threatened
121162,2016,Near Threatened
121162,2012,Near Threatened
121162,2008,Near Threatened
121162,2004,Near Threatened
121162,2000,Lower Risk/near threatened
121162,1996,Endangered
121162,1994,Endangered
121162,1988,Lower Risk/least concern
100287,2019,Vulnerable
100287,2008,Vulnerable
100287,2002,Vulnerable
100287,1996,Lower Risk/near threatened
131789,2004,Near Threatened
131789,1996,Lower Risk/near threatened
131789,1994,Vulnerable
131789,1990,Vulnerable
131789,1988,Vulnerable
131789,1986,Vulnerable
131789,1982,Vulnerable
134446,2021,Least Concern
134446,2010,Least Concern
134449,2021,Least Concern
134449,2010,Least Concern
136349,2017,Least Concern
136349,2012,Near Threatened
136349,2008,Near Threatened
136349,1996,Data Deficient
136349,1994,Insufficiently Known
136349,1990,Insufficiently Known
136349,1988,Insufficiently Known
100361,2016,Vulnerable
100361,2008,Data Deficient
100361,1996,Lower Risk/least concern
96127,2015,Vulnerable
96127,2008,Vulnerable
96127,2006,Vulnerable
96127,1996,Lower Risk/conservation dependent
96127,1994,Vulnerable
96127,1990,Vulnerable
96127,1988,Vulnerable
96127,1986,Vulnerable
96127,1982,Vulnerable
96127,1965,"""Less rare but believed to be threatened-requires watching"""
101697,2022,Vulnerable
101697,2015,Vulnerable
101697,2008,Vulnerable
101697,2002,Vulnerable
101697,1996,Vulnerable
101697,1994,Vulnerable
101697,1990,Vulnerable
101697,1988,Vulnerable
101697,1986,Vulnerable
136894,2022,Vulnerable
136894,2006,Near Threatened
136894,1996,Lower Risk/near threatened
136894,1990,Vulnerable
136894,1988,Vulnerable
136894,1986,Vulnerable
76023,2018,Critically Endangered
76023,1996,Critically Endangered
76023,1994,Endangered
76023,1990,Endangered
76023,1988,Endangered
76023,1986,Endangered
76023,1982,Endangered
116187,2017,Endangered
116187,2016,Endangered
116187,2013,Endangered
116187,2012,Endangered
116187,2009,Endangered
116187,2008,Vulnerable
116187,2004,Vulnerable
116187,2000,Endangered
116187,1996,Endangered
116187,1994,Endangered
116187,1988,Threatened
113651,2016,Endangered
113651,2013,Endangered
113651,2012,Endangered
113651,2008,Endangered
113651,2006,Endangered
113651,2004,Endangered
113651,2000,Endangered
113651,1996,Endangered
113651,1994,Endangered
113651,1988,Threatened
95626,2008,Critically Endangered
95626,1996,Vulnerable
95626,1994,Vulnerable
95626,1990,Vulnerable
95626,1988,Vulnerable
95626,1986,Vulnerable
95626,1982,Vulnerable
134197,2020,Endangered
134197,2008,Endangered
134197,2003,Least Concern
134197,2000,Lower Risk/least concern
134197,1996,Lower Risk/least concern
134197,1994,Vulnerable
134197,1990,Vulnerable
134197,1988,Vulnerable
134197,1986,Vulnerable
134197,1982,Vulnerable
114100,2021,Near Threatened
114100,2016,Vulnerable
114100,2012,Vulnerable
114100,2008,Vulnerable
114100,2007,Vulnerable
114100,2004,Vulnerable
114100,2000,Vulnerable
114100,1996,Vulnerable
114100,1994,Vulnerable
114100,1988,Threatened
6338,2020,Least Concern
6338,1996,Lower Risk/least concern
6338,1990,Endangered
6338,1988,Endangered
6338,1986,Endangered
6338,1982,Endangered
111423,2015,Near Threatened
111423,2008,Near Threatened
